Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
8,Troy Cundari,298,M55-59,ALB,02:39:48,01:41:28,04:25:17,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
10,Nathan Orf,1774,M18-24,USA,02:38:55,01:43:47,04:25:23,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
29,Charles Holmes,1853,M25-29,USA,02:28:49,01:52:32,04:25:24,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
30,Andrew Tey,1911,M25-29,USA,02:38:21,01:44:00,04:25:25,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
33,Ron Salvatori,2931,M45-49,USA,02:38:18,01:43:58,04:25:28,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
50,Kyle Schmitz,397,M30-34,USA,02:44:49,01:37:58,04:25:34,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
34,Henry Van Den Bedem,672,M45-49,USA,02:38:26,01:43:08,04:25:37,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
3,Francesca Braghetto Arce,233,F40-44,CHL,02:43:54,01:38:45,04:25:39,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
11,Jakob Sandberg,1780,M18-24,USA,02:44:37,01:36:41,04:25:47,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
6,Angela Cuaresma,324,F35-39,USA,02:44:15,01:38:47,04:25:54,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
39,Matt Langley,2315,M35-39,USA,02:29:23,01:54:23,04:25:56,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
35,John Finley,2784,M45-49,USA,02:35:51,01:46:25,04:26:02,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
30,Ashley Folkes,2536,M40-44,USA,02:33:37,01:47:27,04:26:05,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
40,Ashley Okada,2366,M35-39,USA,02:38:01,01:43:55,04:26:05,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
7,Taryn Spates,231,F35-39,USA,02:44:38,01:37:19,04:26:06,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
41,Marko Knezevic,2312,M35-39,USA,02:32:31,01:50:05,04:26:10,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
9,William Wiseman,300,M55-59,USA,02:30:23,01:52:39,04:26:21,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
31,Edmund Low,442,M40-44,SGP,02:39:02,01:44:51,04:26:22,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
8,Christine Gould,533,F35-39,USA,02:32:50,01:49:46,04:26:24,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
31,Dillon Flinn,774,M25-29,USA,02:41:35,01:41:51,04:26:36,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
42,Chris Valverde,428,M35-39,USA,02:35:46,01:47:11,04:26:45,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
43,Matthew Kneeland,2311,M35-39,USA,02:54:04,01:27:20,04:26:46,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
51,Scott Merrill,2083,M30-34,USA,02:32:24,01:50:48,04:26:47,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
36,Toby Rider,2921,M45-49,USA,02:43:18,01:39:41,04:26:48,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
7,Emily Kalmbach,317,F30-34,USA,02:43:05,01:40:49,04:26:51,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
