Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
245,Michael Gafa',1423,M 40,MLT,07:49:46,05:50:40,14:02:18,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
246,Andy McClarty,1397,M 40,IRL,07:47:08,05:54:24,14:02:22,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
247,David Tunney,1560,M 40,IRL,07:29:53,06:19:51,14:02:35,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
236,Michael Kenney,1659,M 45,USA,07:50:59,05:50:17,14:02:49,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
248,Eddie McCoy,339,M 40,USA,07:16:04,05:52:55,14:02:58,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
113,Henry Jacobsen,1871,M 50,USA,07:19:31,06:07:18,14:03:22,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
69,Lem Kirby,2097,M 55,USA,08:06:32,05:35:42,14:03:49,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
237,Liam O'Connor,1738,M 45,IRL,07:54:33,05:46:16,14:03:50,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
35,Lesa Thompson,695,F 45,IRL,08:18:24,05:27:25,14:04:09,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
249,David Kennedy,1309,M 40,IRL,07:44:55,05:55:37,14:04:24,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
36,Bridget Haga,671,F 45,USA,08:00:46,05:53:45,14:04:58,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
211,Gradinaru Stanislav,1199,M 35,MDA,07:23:28,06:20:31,14:05:11,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
70,William Kelly,2055,M 55,IRL,07:53:58,05:52:26,14:05:40,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
238,David Byrne,1845,M 45,IRL,08:07:46,05:24:57,14:05:49,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
250,Robert McCarthy,458,M 40,IRL,07:34:25,06:20:31,14:06:14,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
3,Jean Gillespie,760,F 60,GBR,08:19:54,05:25:38,14:06:50,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
212,Paul Reilly,1261,M 35,IRL,07:50:46,05:53:59,14:07:40,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
251,Brian Odulaing,1416,M 40,IRL,07:53:15,06:02:53,14:07:52,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
239,Roy Hastings,1702,M 45,GBR,08:11:44,05:30:49,14:08:22,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
136,Paul Kelly,984,M 30,IRL,07:58:02,05:51:28,14:08:52,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
15,Nigel Hunter,2122,M 60,GBR,07:32:46,06:20:15,14:09:08,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
71,Nick Agajanian,393,M 55,USA,07:44:53,06:00:49,14:09:43,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
