Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
26,Kevin Meyer,773,M 25-29,USA,02:48:34,01:31:40,04:23:46,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
23,Burak Ozdaryal,1093,M 40-44,USA,02:38:23,01:43:26,04:23:48,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
5,Elizabeth Lieberman,1414,F 25-29,USA,02:41:01,01:41:36,04:24:08,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
24,Chad Lochner,1079,M 40-44,USA,02:42:26,01:39:59,04:24:27,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
30,Paul Torres,211,M 35-39,USA,02:41:37,01:39:46,04:24:29,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
2,Heleen De Hooge - Bij De Vaate,515,F 40-44,NLD,02:30:29,01:50:19,04:24:30,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
25,Murray Wanner,218,M 40-44,CAN,02:29:31,01:50:54,04:24:35,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
7,Mackenzie Yates,1426,F 35-39,USA,02:41:54,01:40:31,04:24:36,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
12,Alain Renaud,1320,M 50-54,CAN,02:35:33,01:48:04,04:24:51,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
31,Christopher Navin,1493,M 35-39,USA,02:31:30,01:50:40,04:24:55,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
3,Laura Ballou,1417,F 30-34,USA,02:40:05,01:43:08,04:25:05,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
26,Tom Dievart,1582,M 40-44,USA,02:38:12,01:44:50,04:25:31,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
27,Juan Carlos Guevara,1060,M 40-44,VEN,02:42:19,01:41:03,04:25:36,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
27,Austin Kimmel,752,M 25-29,USA,02:44:49,01:38:07,04:25:37,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
25,Mark Lehnert,1186,M 45-49,USA,02:33:04,01:50:38,04:25:38,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
32,Benjamin Partlow,994,M 35-39,USA,02:38:19,01:45:41,04:25:43,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
3,Karen Snyder,564,F 40-44,USA,02:40:43,01:43:50,04:26:04,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
26,John Lorenz,1188,M 45-49,USA,02:34:30,01:49:01,04:26:17,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
13,John Spilman,1329,M 50-54,USA,02:36:32,01:48:27,04:26:39,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
1,Tara Sheetz,652,F 50-54,USA,02:36:42,01:48:52,04:26:56,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
4,Lane Brostrom,1554,M 55-59,USA,02:39:01,01:45:45,04:27:03,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
27,Joseph Trpik,1240,M 45-49,USA,02:28:01,01:57:02,04:27:03,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
30,Daniel Bocock,824,M 30-34,FIN,02:32:20,01:53:12,04:27:08,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
