Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
41,Andres Mejia,1313,M25-29,USA,00:00:00,02:47:22,01:46:28,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
28,Steve DE Jesus,430,M45-49,PRI,00:00:00,02:38:33,01:55:00,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
56,Jacob Johnson,1675,M35-39,USA,00:00:00,02:55:54,01:40:44,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
18,John Gonzales,322,M55-59,USA,00:00:00,02:40:47,01:53:56,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
17,Blake Stocker,1231,M18-24,USA,00:00:00,02:44:39,01:49:39,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
48,Tom Fletcher,415,M40-44,BHS,00:00:00,02:47:14,01:45:13,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
7,Kathleen Frost,220,F50-54,USA,00:00:00,02:42:36,02:02:37,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
30,Scott Phillabaum,453,M50-54,USA,00:00:00,02:37:16,02:01:17,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
57,Austin Lee,1695,M35-39,USA,00:00:00,02:42:53,01:58:47,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
42,Lucas Bunzel,2546,M25-29,USA,00:00:00,03:05:36,01:47:14,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
58,Andrew O Sullivan,1505,M30-34,IRL,00:00:00,02:51:56,01:45:40,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
58,Jacob Eisterhold,1635,M35-39,USA,00:00:00,02:53:02,01:42:47,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
8,Mimi Winsberg,2531,F50-54,USA,00:00:00,02:47:27,01:51:31,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
19,Troy Tuscher,2419,M55-59,USA,00:00:00,02:46:39,01:58:11,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
59,Nick Grothjan,247,M30-34,USA,00:00:00,02:33:19,02:00:23,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
1,Paul Johnson,2636,M65-69,USA,00:00:00,02:40:29,02:00:59,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
2,Sherry Rennard,542,F55-59,USA,00:00:00,02:50:10,01:47:42,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
31,Brent Spicer,2312,M50-54,NZL,00:00:00,02:46:29,01:51:47,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
29,Scott Farnsworth,2074,M45-49,USA,00:00:00,02:38:51,01:57:34,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
60,Travis Venable,1567,M30-34,USA,00:00:00,02:28:36,02:09:18,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
43,Matthew Stickney,1355,M25-29,USA,00:00:00,02:44:02,01:49:43,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
-,Team M.a.t.,4026,URELAY,USA,00:00:00,02:50:46,01:45:16,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
59,Emmanuel Edson,1633,M35-39,USA,00:00:00,02:48:45,01:48:43,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
32,Jeff Dillon,2233,M50-54,USA,00:00:00,02:36:44,02:01:37,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
9,Sara Campbell,218,F50-54,USA,00:00:00,02:44:56,01:53:54,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
30,Rusty Heyman,2100,M45-49,USA,00:00:00,02:42:04,01:57:38,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
60,Cean Kenefick Rogers,1684,M35-39,USA,00:00:00,02:43:38,01:59:00,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
16,Jamie Yang,834,F35-39,USA,00:00:00,02:46:54,01:50:50,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
20,David Halvorson,2627,M55-59,USA,00:00:00,02:37:31,01:52:51,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
49,David Williamson,2023,M40-44,USA,00:00:00,02:41:48,01:52:04,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
61,Jack Bowrey,1391,M30-34,AUS,00:00:00,02:50:41,01:59:41,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
62,Andres Santizo Matheu,1534,M30-34,GTM,00:00:00,02:48:30,02:04:39,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
44,Mike Maunz,1310,M25-29,USA,00:00:00,02:50:38,01:48:54,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
50,Romain Brante,1840,M40-44,FRA,00:00:00,02:42:50,02:00:13,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
51,Ryan Gray,2591,M40-44,USA,00:00:00,02:41:54,01:58:33,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
63,Zhe Wu,1581,M30-34,CHN,00:00:00,02:54:26,01:36:42,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
21,Mike Behler,320,M55-59,USA,00:00:00,02:51:53,01:50:25,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
