Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
4,Elizabeth Kniesly,996,F35-39,USA,02:33:03,01:49:47,04:26:04,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
2,Team Ecd,4051,XRELAY,USA,02:39:30,01:44:22,04:26:05,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
25,Scott Dobrow,354,M25-29,USA,02:35:33,01:48:26,04:26:12,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
45,Christopher Bell,1089,M30-34,USA,02:27:52,01:56:05,04:26:22,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
40,Justin McKendry,388,M40-44,USA,02:25:36,01:57:41,04:26:26,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
20,Kevin Karr,1201,M50-54,USA,02:29:04,01:53:53,04:26:35,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
41,Graham Polando,610,M35-39,USA,02:40:38,01:41:48,04:26:36,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
7,John Kelley,112,M55-59,USA,02:27:03,01:55:47,04:26:49,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
3,Jenn Kavanaugh,125,F30-34,USA,02:45:19,01:37:58,04:26:58,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
46,Chase Walters,1509,M30-34,USA,02:36:00,01:47:51,04:26:59,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
3,Team Bonk Athletics,4010,XRELAY,USA,02:50:11,01:34:56,04:27:00,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
4,Keri Pawielski,190,F45-49,USA,02:21:53,02:02:09,04:27:07,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
12,Paul Cater,450,M18-24,USA,02:32:18,01:50:36,04:27:12,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
41,Travis Watts,1386,M40-44,USA,02:35:40,01:48:40,04:27:13,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
26,Kar-Ming Lo,1517,M45-49,USA,02:30:47,01:54:14,04:27:56,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
47,Sam Ellis,1258,M30-34,USA,02:38:28,01:45:42,04:27:58,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
42,Nick Glavac,1645,M35-39,USA,02:09:25,02:16:32,04:28:01,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
5,Casey Rapsky,1460,F35-39,USA,02:32:33,01:52:04,04:28:02,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
4,Team Love To Tri,4021,XRELAY,USA,02:34:28,01:50:23,04:28:12,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
43,Aaron Thompson,1596,M35-39,USA,02:33:54,01:52:13,04:28:22,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
8,Mark Brandt,326,M55-59,USA,02:27:24,01:57:34,04:28:23,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
42,David Hebgen,483,M40-44,USA,02:25:54,01:59:52,04:28:24,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
9,Brian Pogue,1148,M55-59,USA,02:33:03,01:51:49,04:28:51,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
21,David Eurich,75,M50-54,USA,02:35:33,01:48:45,04:29:08,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
7,Ashley Brewer,177,F40-44,USA,02:35:16,01:50:59,04:29:08,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
1,Bill Sage,76,M60-64,USA,02:28:41,01:57:34,04:29:12,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
6,Nancy Dadas,1352,F35-39,USA,02:30:07,01:56:39,04:29:24,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
26,Forrest Scofield,896,M25-29,USA,02:40:56,01:44:32,04:29:26,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
48,Richard Wayman,1506,M30-34,USA,02:32:41,01:52:31,04:29:26,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
44,Matt Waterstone,801,M35-39,USA,02:41:09,01:44:10,04:29:29,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
2,Cynthia Lindeman,17,F50-54,USA,02:34:54,01:51:13,04:29:41,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
22,Billy Sawyer,255,M50-54,USA,02:37:29,01:48:11,04:29:52,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
23,Shannon Pritchard,466,M50-54,USA,02:21:31,02:05:24,04:30:05,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
27,Stuart Shine,37,M45-49,USA,02:42:20,01:43:01,04:30:32,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
7,Jennifer Suverkrup,1104,F35-39,USA,02:38:48,01:49:28,04:30:58,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
43,Adam Mathews,307,M40-44,USA,02:37:41,01:50:29,04:31:06,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
45,Ryan Koepke,358,M35-39,USA,02:32:23,01:54:55,04:31:18,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
5,Tracy Fritz,33,F45-49,USA,02:27:50,01:59:43,04:31:20,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
28,Adrian Forbes,578,M45-49,USA,02:21:46,02:07:00,04:31:22,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
44,Kevin Duffy,580,M40-44,USA,02:23:37,02:05:31,04:31:32,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
8,Chelsey Jones,762,F35-39,USA,02:48:13,01:40:15,04:31:49,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
49,Ryan Vargovich,419,M30-34,USA,02:23:34,02:04:54,04:31:51,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
46,Shaun Jordan,325,M35-39,USA,02:36:10,01:49:55,04:31:54,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
29,Robert Lamarche,216,M45-49,USA,02:29:48,01:57:52,04:32:12,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
6,Karen Snyder,1613,F45-49,USA,02:43:08,01:47:08,04:32:23,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
47,Abe Newblom,94,M35-39,USA,02:23:12,02:05:31,04:32:31,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
30,Perry Hock,113,M45-49,USA,02:21:33,02:06:13,04:32:47,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
9,Jennifer Hayes,182,F35-39,USA,02:47:42,01:40:43,04:32:48,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
24,Jason Beckermann,1445,M50-54,USA,02:37:10,01:53:21,04:33:25,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
10,Jeff Kindelan,680,M55-59,USA,02:38:58,01:51:52,04:33:33,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
10,Lauren Leblanc,737,F35-39,USA,02:41:40,01:49:29,04:33:37,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
45,Cristian Voicu,1676,M40-44,USA,02:21:06,02:08:54,04:33:43,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
31,Jon Wooten,1566,M45-49,USA,02:27:19,02:00:51,04:33:47,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
25,Michael Jarvis,989,M50-54,USA,02:40:29,01:50:21,04:34:08,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
5,Team Old Becomes Young,4028,XRELAY,USA,02:52:40,01:39:43,04:34:29,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
13,Mitch Gerhardt,1297,M18-24,USA,02:51:51,01:38:13,04:34:43,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
46,Joel Reed,992,M40-44,USA,02:21:14,02:10:17,04:34:43,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
48,Joshua Venis,304,M35-39,USA,02:27:39,02:03:29,04:34:47,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
49,Ben Stacey,117,M35-39,USA,02:38:05,01:53:55,04:34:51,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
1,Tara Sheetz,1335,F55-59,USA,02:38:34,01:54:04,04:35:14,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
26,Andy Hilder,767,M50-54,GBR,02:34:55,01:57:30,04:35:17,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
27,Daniel Hodge,1679,M25-29,USA,02:43:26,01:49:05,04:35:19,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
47,Ryan Kistner,585,M40-44,USA,02:38:01,01:54:05,04:35:21,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
2,Jeff Crowe,981,M60-64,USA,02:40:15,01:51:34,04:35:26,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
27,John Vanalsburg,1601,M50-54,USA,02:33:11,01:58:09,04:35:33,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
48,Brian Probst,379,M40-44,USA,02:34:59,01:56:09,04:35:40,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
49,Ben Mruk,1402,M40-44,USA,02:32:03,01:59:41,04:35:45,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
50,Nicholas Huckaby,720,M30-34,USA,02:44:02,01:47:42,04:36:03,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
11,Megan Bos,1170,F35-39,USA,02:46:33,01:47:11,04:36:13,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
8,Hallie Labrador,687,F40-44,USA,02:40:17,01:51:57,04:36:15,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
11,John Hunnius,1667,M55-59,USA,02:30:23,02:00:34,04:36:15,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
50,Patrick Miller,1349,M35-39,USA,02:35:04,01:58:26,04:36:20,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
32,Jason Latimer,1493,M45-49,USA,02:45:20,01:47:19,04:36:22,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
3,Jennifer Harrison,191,F50-54,USA,02:41:31,01:52:10,04:36:43,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
