Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
82,Leslie Wolcott,1146,F35-39,USA,00:29:55,00:05:25,00:03:40,17:27:08,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
34,Team Group B Divas,4023,RELAY,USA,00:39:45,00:03:19,00:01:50,17:27:06,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
156,Jon Allen,2212,M35-39,USA,00:38:35,00:03:00,00:03:58,17:27:04,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
148,Jose Puerto,3304,M50-54,USA,00:40:04,00:03:15,00:05:11,17:27:03,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
186,Miguel De Guzman,2852,M45-49,USA,00:42:06,00:03:26,00:03:35,17:27:03,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
75,George Willis,3535,M55-59,USA,00:40:15,00:04:37,00:04:06,17:27:01,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
26,Jim Kinard,3563,M60-64,USA,00:34:11,00:06:52,00:06:49,17:27:00,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
63,Jess Wilson,774,F30-34,USA,00:38:55,00:01:42,00:03:07,17:26:57,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
187,Troy Hohl,2915,M45-49,USA,00:35:00,00:03:57,00:09:29,17:26:53,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
82,Kerrie Steiner,1317,F40-44,USA,00:30:37,00:11:53,00:12:13,17:26:50,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
69,Guy Goodness,1934,M25-29,USA,00:30:40,00:10:19,00:05:13,17:26:42,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
210,Mark Easler,2538,M40-44,USA,00:39:50,00:04:34,00:05:09,17:26:42,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
76,Leon Rountree,3506,M55-59,USA,00:40:43,00:07:24,00:05:48,17:26:35,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
157,Troy Huffman,2307,M35-39,USA,00:37:17,00:05:43,00:05:32,17:26:25,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
53,Sara Sanhueza-Angulo,1691,F50-54,VEN,00:37:54,00:04:53,00:03:05,17:26:22,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
83,Teresa Eddy,511,F40-44,USA,00:49:21,00:02:57,00:06:06,17:26:09,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
144,Patrick O'Donnell,2146,M30-34,USA,00:34:06,00:03:13,00:06:40,17:26:08,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
77,Tom Clark,3404,M55-59,USA,00:36:54,00:06:41,00:05:48,17:25:58,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
158,David Elliot Nussbaum,2370,M35-39,USA,00:38:50,00:06:21,00:06:15,17:25:58,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
211,Brad Fess,2545,M40-44,USA,00:36:46,00:03:14,00:04:16,17:25:57,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
149,Kerry Hazelwood,3218,M50-54,USA,00:30:41,00:03:20,00:03:22,17:25:54,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
70,Daniel Smith,1996,M25-29,USA,00:39:28,00:02:42,00:04:58,17:25:49,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
