Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
88,Kristina Mehlhose,508,F 30,NAM,00:45:35,02:28:01,03:18:12,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
275,Karoly Kiss,1574,M 35,HUN,00:44:21,02:25:23,03:18:19,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
163,David Barker,2304,M 50,GBR,00:34:53,02:35:26,03:18:45,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
186,Klaus Krailing,2166,M 45,GER,00:53:29,02:20:09,03:19:02,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
198,Phillip Brodnax,908,M 25,USA,01:04:47,02:10:41,03:19:03,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
187,Iain Walker,2283,M 45,GBR,00:47:32,02:22:07,03:19:42,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
52,Michaela Studena,746,F 45,CZE,00:57:46,02:12:59,03:20:02,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
7,Wolfgang Wilde,2619,M 65,GER,00:48:37,02:23:17,03:20:19,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
70,Marc Champenois,2502,M 55,BEL,00:44:18,02:24:02,03:20:35,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
64,Beatrice Chiang,395,F 25,SIN,00:44:11,02:29:02,03:20:36,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
188,Stefan Lewe,2179,M 45,GER,00:47:14,02:19:33,03:20:36,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
56,Claire Meehan,602,F 35,GBR,00:46:30,02:28:49,03:20:42,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
269,Thomas Munke,1929,M 40,GER,00:47:33,02:23:23,03:20:43,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
199,Lukas Götting,951,M 25,GER,00:55:55,02:16:49,03:20:44,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
53,Claire Amos,699,F 45,GBR,00:46:14,02:25:12,03:20:51,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
11,Michele Ashton,787,F 55,CAN,00:43:58,02:28:41,03:21:06,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
276,Stepan Bouda,1469,M 35,CZE,00:42:36,02:32:04,03:21:08,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
65,Anna Tonschütz,444,F 25,AUT,00:41:23,02:27:14,03:21:48,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
277,Mario Schneider,1685,M 35,AUT,00:42:32,02:28:53,03:21:57,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
47,Jessie Alan,636,F 40,USA,00:42:27,02:29:18,03:22:11,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
270,Christian Moder,1924,M 40,AUT,00:51:08,02:23:40,03:22:50,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
71,Martin Tropper,2571,M 55,CAN,00:43:10,02:28:34,03:22:56,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
189,Marius Olschewski,2207,M 45,GER,00:53:48,02:16:36,03:23:34,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
200,Maximilian Hoffmann,967,M 25,GER,00:56:24,02:18:26,03:24:00,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
164,Göran Sköld,2453,M 50,SWE,00:53:57,02:21:04,03:24:28,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
278,Matej Simunovic,1695,M 35,CRO,00:47:38,02:24:45,03:24:49,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
190,Thorsten Krautter,2168,M 45,GER,00:53:18,02:23:13,03:25:24,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
72,Søren Jensen,2533,M 55,DEN,00:42:05,02:35:59,03:25:24,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
284,Jaroslav Smitka,1376,M 30,CZE,00:41:54,02:31:50,03:25:38,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
57,Lani Swart,620,F 35,RSA,00:47:00,02:29:35,03:26:04,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
23,Tina Purvis,777,F 50,GBR,00:53:36,02:27:51,03:26:48,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
191,Gernot Lorang,2182,M 45,AUT,00:56:41,02:23:12,03:27:03,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
285,Christopher Mayer,1303,M 30,GER,00:48:18,02:27:27,03:27:05,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
286,Petr Cizek,1155,M 30,CZE,01:01:31,02:15:13,03:27:56,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
287,Jasmin Harbinja,1225,M 30,BIH,01:04:11,02:20:17,03:31:21,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
89,Nudžejma Softi?,539,F 30,BIH,01:08:25,02:13:54,03:31:31,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
288,Martijn Hermans,1230,M 30,NED,00:51:16,02:29:29,03:32:13,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
19,Georgios Kotakis,2592,M 60,GRE,00:44:28,02:37:51,03:32:48,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
201,Christian Da Rocha,923,M 25,LUX,00:43:48,02:38:01,03:33:03,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
-,Eszter Petra Balazs,2829,M ,HUN,00:58:58,02:32:21,03:34:01,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
289,Eshagh Balouchi,1124,M 30,IRI,01:08:06,02:18:27,03:34:04,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
67,Khalifa Almoadhadi,804,M 18,QAT,00:48:51,02:39:05,03:35:05,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
58,Korryn Mozisek,606,F 35,USA,00:54:42,02:34:35,03:36:23,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
290,Fawaz Alansari,1112,M 30,BRN,00:50:58,02:37:48,03:37:48,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
66,Selina Wank,451,F 25,GER,00:42:34,02:46:56,03:38:19,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
73,Stephan Wank,2578,M 55,GER,00:42:46,02:46:56,03:38:29,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
3,Tarja Rissanen,800,F 60,FIN,01:04:21,02:25:16,03:38:30,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
