Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
25,Yong Ma,744,M50-54,CHN,02:54:14,02:14:54,05:15:52,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
39,Kevin Adrian Gentle,303,M30-34,FRA,03:10:43,01:57:46,05:15:53,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
15,小林 浩,768,M55-59,JPN,03:03:27,02:05:10,05:16:02,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
40,Wentao Bai,379,M30-34,CHN,03:06:04,02:01:05,05:16:11,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
49,Bo Wang,541,M40-44,CHN,03:09:54,01:58:15,05:17:03,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
51,Chang He,391,M35-39,CHN,03:05:06,02:02:40,05:17:15,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
26,德文 刘,746,M50-54,CHN,02:58:29,02:12:24,05:17:28,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
27,Voon Keat Lai,706,M50-54,MYS,02:45:11,02:26:33,05:17:36,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
6,Xueru Yang,886,F35-39,CHN,03:10:53,01:59:52,05:17:51,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
16,Jianguo Liu,770,M55-59,CHN,02:55:34,02:12:40,05:18:09,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
17,Zhifa Luo,759,M55-59,CHN,03:07:22,02:02:09,05:18:41,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
14,Chunyi Wan,259,M25-29,CHN,02:52:19,02:13:17,05:18:52,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
41,Ting Zhe Yan,670,M45-49,CHN,03:00:57,02:09:45,05:19:11,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
50,Jiadong Zhao,617,M40-44,CHN,03:05:46,02:05:36,05:19:31,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
51,Xianghui Guo,606,M40-44,CHN,02:55:35,02:18:44,05:19:33,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
33,Team Specialized西安,1067,RELAY-M,CHN,02:55:56,02:22:39,05:20:48,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
52,秋培 王,433,M35-39,CHN,03:32:41,01:42:36,05:20:54,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
52,Lifang Liu,522,M40-44,CHN,03:06:35,02:08:37,05:21:03,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
53,Ci Liu,496,M35-39,CHN,02:57:49,02:16:57,05:21:13,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
28,Reinhard Matheis,736,M50-54,AUT,02:59:52,02:15:51,05:21:20,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
6,Hideyuki Yoshikawa,790,M65-69,JPN,03:04:39,02:11:21,05:21:43,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
7,Xu Wang,884,F35-39,CHN,02:59:42,02:14:47,05:21:59,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
41,文征 韩,356,M30-34,CHN,03:15:31,01:58:01,05:22:14,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
4,Saranya Romsaithong,915,F40-44,THA,03:01:58,02:16:30,05:22:24,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
9,Meng Fan,875,F30-34,CHN,03:16:19,02:03:00,05:22:32,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
34,Team 饮水思源,1060,RELAY-M,CHN,03:21:45,01:55:22,05:22:51,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
42,Mingze Cheng,363,M30-34,CHN,03:00:42,02:15:03,05:23:10,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
42,志荣 张,681,M45-49,CHN,02:53:30,02:23:57,05:23:17,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
