Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
23,Karen Watkin,2763,F 50-54,AUS,03:09:04,03:44:00,07:07:26,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
51,Shoko Noda,2270,F 30-34,JPN,03:31:05,03:23:42,07:08:32,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
24,Rita Dewayanti Drachmann,2743,F 50-54,IDN,03:33:03,03:23:36,07:10:33,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
25,Elizabeth Vernooy,2761,F 50-54,AUS,03:30:14,03:24:58,07:10:34,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
4,Soonthon Jaimabud,2859,M PC,THA,04:50:28,02:06:59,07:11:10,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
45,Warat Tangtiphongkul,2860,M 25-29,THA,04:50:27,02:07:06,07:11:28,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
13,Anne Townsley,2809,F 55-59,AUS,03:26:27,03:33:04,07:13:08,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
52,Pamelia Goh,2253,F 30-34,SGP,03:39:58,03:16:55,07:14:02,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
28,Jo Stan-Bishop,2399,F 35-39,AUS,03:04:36,03:56:37,07:17:08,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
45,Yvette Williamson,2687,F 45-49,AUS,03:34:10,03:29:28,07:17:56,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
59,Cliff Brennan,2297,M 35-39,AUS,03:45:05,03:25:57,07:22:30,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
42,Bill Coghlan,2695,M 50-54,AUS,03:31:58,03:39:52,07:24:36,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
3,Dave Wilkinson,2830,M 65-69,GBR,03:50:54,03:17:10,07:27:47,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
14,Jude Murdock,2805,F 55-59,AUS,03:39:45,03:44:05,07:34:21,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
39,Alison Miles,2123,F 25-29,AUS,03:46:35,03:35:35,07:36:13,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
73,Ben Hogan,2438,M 40-44,AUS,03:30:33,03:53:34,07:36:24,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
46,Viyata Permani Devi,2649,F 45-49,IDN,03:56:42,03:43:10,07:54:12,Ironman 70.3 Western Australia,12/03/2017,"Busselton, Western Australia"
