Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
11,Siegmar Kirchner,2581,M 60,GER,00:00:00,06:11:02,04:15:14,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
202,Martin Kohner,1380,M 35,GER,00:00:00,05:43:43,04:44:27,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
124,Andreas Wruck,2430,M 50,GER,00:00:00,05:48:24,04:40:46,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
7,Carmen Rehkopf,807,F 50,GER,00:00:00,05:41:41,05:03:58,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
125,Christian Pancur,2349,M 50,GER,00:00:00,05:54:29,04:49:00,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
203,Karim Hwaidak,1360,M 35,EGY,00:00:00,06:34:56,04:14:31,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
204,Sascha Bode,365,M 35,GER,00:00:00,05:46:13,04:50:14,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
159,Jörn Schlüter,2106,M 45,GER,00:00:00,05:25:38,05:18:39,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
203,Jose Luis Canal Marchena,1598,M 40,ESP,00:00:00,06:15:46,04:26:27,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
148,Peter Wanke,1227,M 30,GER,00:00:00,05:39:59,05:01:38,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
205,Daniel Papirov,1440,M 35,ISR,00:00:00,05:37:26,04:59:30,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
206,Charalampos Spiliakos,1498,M 35,GRE,00:00:00,06:19:21,04:17:55,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
126,Daren Allen,438,M 50,GBR,00:00:00,06:00:28,04:46:27,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
127,Trevor Jones,2280,M 50,GBR,00:00:00,06:05:24,04:41:36,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
160,Stefan Dilger,1930,M 45,GER,00:00:00,05:59:12,04:51:24,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
83,Jan-Christian Klinge,944,M 25,GER,00:00:00,05:32:37,05:28:39,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
44,Paul Lofthouse,2509,M 55,GBR,00:00:00,06:04:10,04:25:20,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
20,Yuriko Orihara,168,F 35,JPN,00:00:00,06:35:21,04:26:53,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
9,Steffi Clarenbach,751,F 45,GER,00:00:00,06:23:38,04:10:19,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
128,Frank Bouge,2188,M 50,GER,00:00:00,05:53:47,04:36:44,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
149,Matthias Bentley,1032,M 30,GER,00:00:00,06:04:39,04:41:44,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
207,Tom Jong,1369,M 35,NED,00:00:00,05:58:36,04:39:03,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
204,Robert Holzinger,1680,M 40,GER,00:00:00,06:00:09,04:49:15,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
161,Armin Oberhagemann,2064,M 45,GER,00:00:00,05:55:07,04:56:36,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
162,Kurt D'Haene,1929,M 45,BEL,00:00:00,05:39:50,04:56:24,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
