Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
66,Simon Rule,1091,M 40-44,AUS,05:47:03,04:29:50,10:28:08,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
55,Ed Tollinton,1331,M 45-49,AUS,05:49:44,04:17:28,10:28:22,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
44,Vivian Oldfield,891,M 35-39,AUS,05:35:18,04:43:54,10:28:57,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
27,Warren Forbes,1418,M 50-54,AUS,05:41:30,04:22:27,10:29:07,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
67,Paul Newland,1071,M 40-44,AUS,05:18:06,04:54:55,10:29:20,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
68,Clayton Frost,1011,M 40-44,AUS,05:16:08,05:05:32,10:29:54,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
15,Lindsay Keating,944,F 35-39,AUS,05:23:47,04:55:40,10:30:14,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
49,Chin Keong Gui,687,M 30-34,MYS,06:14:09,04:00:27,10:30:42,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
50,Beau Waters,1689,M 30-34,AUS,05:14:31,05:06:39,10:30:58,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
18,Renee Goodall,288,F 40-44,AUS,05:55:07,04:27:04,10:31:40,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
28,Emile Boey Alam,337,M 50-54,AUS,05:51:47,04:27:37,10:32:14,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
69,Mark Fisher,261,M 40-44,GBR,05:37:32,04:42:25,10:32:24,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
56,Simon Gardner,1240,M 45-49,AUS,05:37:40,04:39:28,10:32:59,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
45,Dermot Goodwin,838,M 35-39,IRL,05:48:48,04:35:46,10:33:14,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
46,Nathan Archer,803,M 35-39,AUS,05:26:08,04:59:16,10:33:23,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
29,Steven Carrick,478,M 50-54,AUS,05:31:45,04:48:38,10:33:25,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
2,Tony Scoleri,1758,M PC,AUS,05:29:14,04:59:57,10:33:22,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
7,Kim Dorling,331,F 45-49,NZL,05:52:03,04:36:00,10:33:31,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
70,Nathan  North ,1668,M 40-44,AUS,05:43:50,04:36:07,10:34:06,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
47,Robert Troy,1663,M 35-39,AUS,05:50:06,04:33:04,10:34:11,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
57,Michael Woodcock,324,M 45-49,AUS,05:17:40,05:05:44,10:34:32,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
9,Gabrielle Kiely,646,F 25-29,AUS,05:33:06,04:51:43,10:34:49,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
30,Laurent Laclaverie,1445,M 50-54,FRA,05:44:14,04:37:54,10:34:59,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
48,Matt Rhyne,903,M 35-39,AUS,05:33:32,04:50:36,10:35:03,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
19,Sally Upham,1167,F 40-44,AUS,06:07:09,04:20:30,10:35:04,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
11,Amanda Clark,764,F 30-34,NZL,05:33:29,04:54:46,10:35:44,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
51,James Knipe,701,M 30-34,IRL,05:16:03,05:09:41,10:36:00,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
71,Julien Camino,986,M 40-44,AUS,05:42:40,04:42:47,10:36:29,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
52,Andrew Strickland,743,M 30-34,AUS,05:29:48,04:56:45,10:37:30,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
49,Ashley Bell,230,M 35-39,AUS,06:02:41,04:24:53,10:37:50,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
4,Narelle Talbot,1523,F 50-54,AUS,06:02:35,04:27:01,10:37:56,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
72,Paul Marshall,1055,M 40-44,AUS,05:31:25,04:55:36,10:37:56,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
50,Luke Collyer,815,M 35-39,AUS,05:23:45,04:55:07,10:37:58,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
51,隼人 安藤,931,M 35-39,JPN,05:24:50,05:02:27,10:38:17,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
52,Nick Kennedy,855,M 35-39,AUS,04:55:06,05:35:07,10:38:18,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
10,Rebecca Archibald,515,F 25-29,AUS,05:56:55,04:31:52,10:38:34,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
73,Terry Jones,266,M 40-44,AUS,05:27:41,04:59:04,10:38:37,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
20,Diana Catoi,1145,F 40-44,AUS,05:59:00,04:27:08,10:39:01,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
58,Gerry Gosen,1243,M 45-49,SGP,06:09:15,04:14:44,10:39:29,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
74,Brett Moore,1068,M 40-44,AUS,05:25:18,05:06:07,10:40:08,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
11,Greg Fleay,1546,M 55-59,AUS,06:11:54,04:11:24,10:40:25,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
59,Clint Black,1187,M 45-49,NZL,05:21:37,05:04:07,10:40:26,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
75,Mark Sissons,441,M 40-44,NZL,05:30:02,05:02:25,10:41:09,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
31,Alex Kraan,1444,M 50-54,AUS,05:23:18,05:06:52,10:41:30,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
53,Cameron Cooper,816,M 35-39,AUS,06:08:07,04:24:06,10:41:56,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
76,Jason Knibbs,1035,M 40-44,AUS,05:47:02,04:39:49,10:41:58,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
12,Ashley Purcell,1574,M 55-59,AUS,05:38:17,04:52:15,10:42:27,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
60,Gino Nardella,1288,M 45-49,AUS,05:43:57,04:46:02,10:42:45,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
61,Paul Moore,311,M 45-49,AUS,05:02:22,04:52:35,10:42:48,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
77,Faustulo Machado,1048,M 40-44,BRA,06:00:40,04:25:54,10:43:00,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
53,Arseny Chernov,670,M 30-34,SGP,05:16:28,05:14:41,10:43:15,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
8,Susan Sharman,1387,F 45-49,AUS,06:01:11,04:26:17,10:43:20,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
5,Chrissie Bowie,350,F 50-54,AUS,05:41:39,04:52:02,10:43:38,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
13,Trevor Ward,365,M 55-59,SWE,05:54:40,04:35:51,10:43:52,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
78,Neil Johnson,1031,M 40-44,AUS,05:33:55,04:56:02,10:44:18,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
32,Craig Stocks,178,M 50-54,AUS,05:45:58,04:49:01,10:44:50,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
9,Julie Bishop,328,F 45-49,AUS,06:17:40,04:15:39,10:44:51,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
79,Logan Cowdell,996,M 40-44,NZL,05:51:17,04:44:45,10:45:04,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
27,Paul Stockwell,618,M 25-29,AUS,05:43:58,04:49:00,10:45:09,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
62,David Von Hirschberg,1340,M 45-49,AUS,05:32:52,04:59:24,10:45:29,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
11,Jennifer Aimee Tan,653,F 25-29,PHL,06:01:31,04:33:30,10:45:34,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
54,Gerard O'Donovan,517,M 30-34,IRL,05:01:38,05:38:06,10:45:39,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
12,Joanne D'Arcy,1688,F 30-34,AUS,05:51:09,04:40:57,10:45:54,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
63,Warwick Catchpole,1194,M 45-49,NZL,05:31:53,05:05:10,10:45:59,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
16,Jenn Butler,936,F 35-39,AUS,05:57:30,04:30:56,10:46:00,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
55,Andrew Martin,709,M 30-34,AUS,05:37:54,04:58:58,10:46:21,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
17,Jonelle Ainsworth,529,F 35-39,AUS,05:58:16,04:36:13,10:46:24,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
13,Kate Doyle,401,F 30-34,AUS,06:01:51,04:35:50,10:46:50,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
80,Brendan Hayes,428,M 40-44,AUS,06:03:16,04:34:12,10:46:57,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
6,Megan Moa,1515,F 50-54,AUS,06:11:02,04:26:39,10:46:59,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
64,Nic Woollett,1351,M 45-49,GBR,06:17:59,04:16:39,10:47:29,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
56,Jefferson Silva,737,M 30-34,BRA,05:56:00,04:39:56,10:47:39,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
54,Nicolas Lepauvre,870,M 35-39,FRA,06:02:56,04:34:27,10:47:49,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
81,Neil Jones,265,M 40-44,GBR,05:30:48,04:54:43,10:48:07,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
15,Alistair Hood,494,M 55-59,AUS,05:57:34,04:40:22,10:48:15,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
16,Ryan Howell,363,M 55-59,USA,06:14:57,04:21:37,10:48:24,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
65,Scott Phillips,1300,M 45-49,AUS,05:45:33,04:52:10,10:48:34,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
33,Philippe Baraquet,1398,M 50-54,NCL,06:04:16,04:30:28,10:48:41,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
55,Magnus Grimeland,839,M 35-39,NOR,05:53:05,04:30:01,10:49:05,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
66,Steven Bishop,454,M 45-49,AUS,05:35:39,05:05:05,10:49:15,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
14,Bonnie (Yvonne) Learmonth,780,F 30-34,GBR,05:51:43,04:46:57,10:49:26,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
82,Andrew Cox,997,M 40-44,AUS,05:39:40,04:48:38,10:49:41,Ironman Western Australia,12/03/2017,"Busselton, Western Australia"
