Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
183,Aaron Jones,451,M40-44,USA,07:14:56,05:37:33,13:06:13,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
211,Joe Ridgway,722,M45-49,USA,06:58:06,05:52:00,13:06:20,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
182,Gregory Meyer,2058,M50-54,USA,06:33:08,06:15:53,13:06:22,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
33,Kenneth Price,587,M60-64,USA,06:54:47,06:01:38,13:06:44,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
63,Aimee Williams,910,F35-39,USA,07:16:40,05:35:30,13:06:54,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
212,Tyler French,1826,M45-49,USA,07:05:45,05:50:38,13:07:25,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
52,Meredith Siematkowski,826,F30-34,USA,07:15:35,05:38:19,13:07:46,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
91,Elizabeth Eaken,2410,F40-44,USA,06:52:52,05:58:54,13:08:00,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
159,Eddie Arnold,607,M35-39,USA,07:25:20,05:29:57,13:08:04,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
30,Zachary Tieke,1264,M18-24,USA,07:14:14,05:37:37,13:08:12,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
184,Jason Davies,1632,M40-44,CAN,07:06:19,05:50:24,13:08:13,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
53,Stephanie Hospelhorn,810,F30-34,USA,07:13:19,05:42:14,13:08:16,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
213,Sam Barnes,1782,M45-49,USA,06:39:23,06:12:31,13:08:22,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
137,David Rasmussen,696,M30-34,USA,06:58:25,06:01:04,13:08:24,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
183,Mark Wieczorek,732,M50-54,USA,06:29:37,06:25:06,13:08:49,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
184,James Puett,2079,M50-54,USA,07:28:00,05:28:40,13:08:55,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
214,Michael Seltzer,1927,M45-49,USA,07:11:30,05:45:08,13:09:04,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
160,Phil Cousineau,1491,M35-39,CAN,07:02:21,05:53:18,13:09:24,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
64,Elizabeth Daulton,847,F35-39,USA,06:59:13,06:01:18,13:09:37,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
215,Tod Ulery,1954,M45-49,USA,07:05:16,05:55:05,13:09:57,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
49,Janice Gray,1126,F50-54,USA,07:09:10,05:47:50,13:10:45,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
216,Brad Cannon,552,M45-49,USA,06:49:28,06:05:58,13:10:46,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
185,Jimmy Fisher JR,617,M50-54,USA,06:38:19,06:22:13,13:11:11,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
186,Doug Stpeters,2108,M50-54,USA,06:48:36,06:09:55,13:11:15,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
54,Lindsey Welter,529,F30-34,USA,06:52:17,06:12:54,13:11:52,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
187,Dennis Duria,2005,M50-54,PHL,06:35:22,06:18:56,13:11:58,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
65,Anna Squibb,664,F35-39,USA,07:02:38,06:02:36,13:12:10,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
217,Dedric Jackson,539,M45-49,USA,07:28:58,05:28:11,13:12:18,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
72,Amy Conn,668,F45-49,USA,07:41:49,05:22:02,13:12:41,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
138,Brendan Stapleton,1436,M30-34,USA,07:21:57,05:35:29,13:12:43,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
185,Brian Keane,1670,M40-44,USA,06:02:05,06:56:47,13:12:59,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
50,Francine Fredette,1120,F50-54,USA,07:20:49,05:41:10,13:13:03,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
186,Jason Adams,1606,M40-44,USA,07:19:06,05:43:17,13:13:24,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
218,Wayne Fraleigh,2349,M45-49,USA,06:49:03,06:09:53,13:13:36,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
83,Michael Hicks,2163,M55-59,USA,07:11:02,05:50:53,13:13:47,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
188,Brad Kinkead,2038,M50-54,USA,07:10:48,05:52:51,13:14:09,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
31,Sam Hider,1240,M18-24,USA,06:53:42,06:07:26,13:14:30,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
84,Jim Ray,2191,M55-59,USA,07:08:15,05:53:10,13:14:34,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
92,Wen Han,951,F40-44,USA,07:45:47,05:21:16,13:14:36,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
93,Sarah Jackman,962,F40-44,USA,07:26:37,05:38:01,13:14:36,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
139,Gregory Zetwo,1457,M30-34,USA,07:36:56,05:19:33,13:14:42,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
28,Bailey McClellan,777,F25-29,USA,07:45:47,05:20:09,13:14:55,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
32,Rhonda Heinz,1186,F55-59,USA,07:12:19,05:55:28,13:14:59,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
189,Matt McClellan,2056,M50-54,USA,07:45:51,05:20:09,13:15:00,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
94,Katie Stanley,1010,F40-44,USA,07:01:43,06:01:16,13:15:01,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
140,Travis Holder,693,M30-34,USA,07:33:52,05:32:51,13:15:24,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
51,Trudy Simmons,1158,F50-54,USA,07:20:17,05:42:40,13:15:26,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
219,Davey Lowry,1875,M45-49,USA,07:03:16,05:59:55,13:16:37,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
187,Adam Crowe,1631,M40-44,USA,07:46:37,05:20:57,13:16:53,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
75,Curtis Criswell,1282,M25-29,USA,07:05:58,05:59:02,13:17:08,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
85,Mark Zabolotny,518,M55-59,USA,06:43:09,06:24:01,13:17:16,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
55,Ryan Greene,805,F30-34,USA,07:18:54,05:43:33,13:17:41,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
190,Bernie Eng,2007,M50-54,USA,07:15:42,05:46:46,13:18:07,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
191,Darryl Humphrey,2029,M50-54,USA,06:51:55,06:11:39,13:18:09,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
52,Anne Royston,207,F50-54,USA,07:13:59,05:53:46,13:18:44,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
