Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
71,Lauren Cepeda,1117,F50-54,USA,06:51:12,06:43:39,13:39:55,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
178,Gene Pierce,2394,M50-54,USA,06:30:25,07:03:02,13:39:57,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
209,Shayne Cunis,2011,M45-49,NZL,06:45:14,06:39:57,13:40:02,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
210,Jeffery Eaton,2030,M45-49,USA,06:49:19,06:39:58,13:40:12,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
72,Lisa Bernardi,1105,F50-54,USA,07:19:23,06:10:15,13:40:34,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
73,Lynne Allin,1100,F50-54,CAN,07:02:19,06:31:03,13:40:40,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
128,Travis Holder,1457,M30-34,USA,07:18:51,06:12:51,13:40:51,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
160,Mike Suominen,1716,M35-39,USA,06:50:41,06:32:41,13:40:59,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
101,Larry Grenvik,2510,M55-59,USA,06:22:56,07:08:47,13:41:03,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
74,Holly Cunningham,2685,F50-54,USA,07:18:03,06:16:18,13:41:05,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
99,Monique McDonough,1048,F45-49,USA,07:09:41,06:24:14,13:41:08,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
192,David Csanyi,1787,M40-44,HUN,07:02:55,06:12:35,13:41:26,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
75,Emily Cohen,1119,F50-54,USA,07:21:26,06:05:41,13:41:40,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
129,Michael Kolp,1468,M30-34,USA,06:14:01,07:18:50,13:41:45,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
211,Daniel Hsu,2074,M45-49,USA,07:12:38,06:15:48,13:42:30,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
212,Robert Buice,641,M45-49,USA,07:03:43,06:23:07,13:42:31,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
76,Ying Ford,1132,F50-54,USA,07:18:41,06:16:16,13:42:44,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
80,Ryan Huff,496,M25-29,USA,06:49:09,06:46:03,13:42:50,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
100,Tammy Mason,1046,F45-49,USA,06:36:57,06:56:08,13:42:58,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
179,Jeff Kingsfield,2346,M50-54,USA,06:30:03,07:00:26,13:43:10,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
101,Susan Nofi,1056,F45-49,USA,07:34:49,05:57:04,13:43:23,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
130,Kevin Varney,1538,M30-34,USA,07:12:06,06:24:45,13:43:24,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
193,Matt Miller,117,M40-44,USA,06:35:07,06:45:32,13:43:27,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
180,Simon Shurey,118,M50-54,GBR,06:56:26,06:38:26,13:43:34,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
161,Eric Ball,1562,M35-39,USA,06:41:53,06:53:24,13:43:39,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
213,Benjamin Haithcock,2058,M45-49,USA,06:41:40,06:56:33,13:43:43,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
111,Kara Sessums,464,F40-44,USA,07:52:22,05:42:10,13:43:49,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
112,Annette Melecio,924,F40-44,USA,07:32:14,05:58:43,13:44:01,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
82,Brooke McKenzie,826,F35-39,USA,07:42:23,05:52:49,13:44:17,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
131,Zach Hisert,1456,M30-34,USA,06:32:51,06:59:06,13:44:25,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
83,Sabrina Trimmier,633,F35-39,USA,07:18:54,06:12:23,13:44:29,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
77,Laura Gagel,1135,F50-54,USA,06:07:17,07:27:59,13:44:38,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
194,Matthew Jones,1837,M40-44,USA,06:43:10,06:52:08,13:44:38,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
33,Peter Van Diepen,2638,M60-64,CAN,06:40:58,06:47:08,13:44:49,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
214,Rudy Christian,1999,M45-49,USA,06:48:36,06:43:24,13:45:07,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
195,Yusuf Osmani,1881,M40-44,UZB,06:32:01,07:04:03,13:45:24,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
102,Sarah Cook,1000,F45-49,USA,06:52:25,06:38:45,13:45:26,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
181,Athan Arvanitis,2231,M50-54,USA,07:32:17,06:06:03,13:46:04,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
8,Patricia Gray,1255,F60-64,USA,07:17:42,06:18:29,13:46:06,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
34,Robert Spady,2632,M60-64,USA,07:12:25,06:24:02,13:46:12,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
78,Annette Plante,1175,F50-54,USA,06:25:54,07:09:06,13:46:20,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
79,Ann Benson,1103,F50-54,USA,07:36:50,05:55:44,13:46:21,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
162,Pedro Mendoza,1664,M35-39,USA,07:10:59,06:18:00,13:46:37,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
28,Ssang Gebelein,1219,F55-59,USA,07:23:11,06:10:58,13:47:00,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
182,David Vanhorn,2439,M50-54,USA,06:58:07,06:36:11,13:47:04,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
215,Quang Le,2095,M45-49,USA,07:36:22,06:05:07,13:47:26,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
183,Derek Bryant,2244,M50-54,USA,06:46:28,06:47:47,13:47:52,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
63,Danielle Stallone,758,F30-34,USA,07:18:57,06:15:57,13:48:01,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
132,Sean Timon,1532,M30-34,USA,06:54:33,06:41:30,13:48:07,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
163,Chad Woodard,1743,M35-39,USA,07:25:50,06:10:10,13:48:10,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
184,Chad Leinen,2354,M50-54,USA,06:27:30,07:14:35,13:48:14,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
185,Darrell Freeman,116,M50-54,USA,06:37:07,07:05:24,13:48:22,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
25,Joseph Fincher,1283,M18-24,USA,06:37:41,07:02:05,13:48:30,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
186,Steve Spencer,2424,M50-54,USA,06:26:31,07:11:56,13:48:45,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
216,Danny Ron,2160,M45-49,USA,06:46:29,06:54:07,13:49:13,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
29,Renie Burbank,1209,F55-59,USA,07:03:50,06:36:24,13:49:14,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
217,Anton Van Zyl,385,M45-49,USA,06:16:26,07:16:23,13:49:36,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
113,Shannon Tomchin,965,F40-44,USA,06:16:27,07:16:22,13:49:38,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
218,Scott Doughty,2026,M45-49,USA,06:18:25,07:22:59,13:50:08,Ironman Chattanooga,09/30/2018,"Chattanooga, Tennessee, USA"
