Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
122,Jay Fellows,1650,M 40-44,USA,05:18:51,04:52:47,10:31:06,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
126,Raul De La Torre Garrote,1412,M 35-39,ESP,05:12:21,05:10:53,10:31:09,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
127,Jason Albanese,1365,M 35-39,USA,05:10:49,05:12:22,10:31:12,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
64,Eiji Kuwamura,1165,M 25-29,JPN,05:36:08,04:40:54,10:31:26,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
24,Erin Johnson,562,F 30-34,USA,05:47:09,04:37:39,10:31:27,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
123,Matthew Archer,1593,M 40-44,USA,04:36:23,05:45:15,10:31:32,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
142,Andres Coto,1880,M 45-49,CRI,04:59:36,05:19:33,10:31:55,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
11,Armin Kruspel,2495,M 60-64,CAN,05:44:50,04:30:53,10:31:57,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
29,Bob Keezer,2404,M 55-59,USA,05:42:50,04:37:11,10:32:00,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
143,Thomas Crimp,1883,M 45-49,USA,05:39:40,04:36:12,10:32:02,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
25,Giannina Arguedas,529,F 30-34,CRI,05:49:54,04:28:53,10:32:04,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
4,Jennifer Moore,478,F 18-24,USA,05:54:50,04:26:17,10:32:14,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
5,Ellen Reynolds,479,F 18-24,USA,05:36:26,04:42:45,10:32:15,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
14,Kathryn Flodquist,935,F 50-54,USA,05:05:47,05:20:14,10:32:20,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
128,Matt Aloisi,1368,M 35-39,USA,05:18:43,04:59:51,10:32:24,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
129,Vincent Silvestre,1552,M 35-39,USA,05:18:40,05:04:13,10:32:38,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
81,Keith Vogel,2342,M 50-54,USA,05:30:34,04:52:00,10:32:51,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
124,J Bradley Smith,1781,M 40-44,USA,05:32:50,04:50:27,10:33:13,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
130,Jason Congdon,1405,M 35-39,USA,05:22:12,05:01:04,10:33:38,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
