Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
62,Bill Hein,583,M60-64,USA,02:44:37,03:12:57,06:04:34,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
106,Brian Knapp,1740,M25-29,USA,03:22:56,02:37:15,06:04:48,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
16,Linda Richey,1623,F60-64,USA,03:11:35,02:44:33,06:04:58,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
108,Catherine Clancy-Dumont,1296,F40-44,USA,03:01:58,02:57:10,06:05:02,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
8,Beth Lynch,665,F65-69,USA,02:58:49,02:58:28,06:05:20,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
42,Rebecca Bender,1572,F55-59,USA,03:16:57,02:42:03,06:05:26,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
17,Peggy Delaney,800,F60-64,USA,03:10:34,02:44:40,06:05:32,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
99,Angela Dadlani,911,F45-49,USA,02:59:27,02:57:39,06:05:37,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
170,Jim Mogan,2606,M50-54,USA,03:22:22,02:32:45,06:05:44,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
109,Brooke Harris,1314,F40-44,USA,03:27:41,02:28:32,06:05:44,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
171,Chuck Flayhart,779,M50-54,USA,03:07:39,02:50:45,06:05:45,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
172,Matt Jameson,2563,M50-54,USA,03:14:13,02:42:19,06:05:52,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
191,John Schultz,2461,M45-49,USA,03:11:49,02:45:22,06:06:04,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
79,Barbara McGlynn,814,F50-54,USA,03:05:36,02:49:39,06:06:06,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
187,Lenard Smith,2294,M40-44,USA,03:18:15,02:42:16,06:06:17,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
18,Charlene Wilhelm,1630,F60-64,USA,02:59:40,02:58:35,06:06:35,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
99,Howie Cohen,2693,M55-59,USA,03:08:18,02:51:28,06:06:37,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
100,Macarena Real De Azua,1464,F45-49,URY,03:09:34,02:49:35,06:06:51,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
73,Sarah Patthoff,1255,F35-39,USA,03:16:27,02:44:14,06:06:58,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
2,Russell Clarke,2845,M75-79,USA,03:07:03,02:53:35,06:07:08,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
65,Christian Keller,1149,F30-34,USA,03:15:38,02:46:25,06:07:13,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
155,Raza Zaidi,1971,M30-34,USA,03:06:18,02:50:13,06:07:28,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
9,Michelle Bonura,991,F65-69,USA,03:07:09,02:53:33,06:07:30,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
107,Jesse Alton,1689,M25-29,USA,02:58:02,03:01:51,06:07:47,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
100,Toufic Wakim,2772,M55-59,USA,03:09:18,02:51:09,06:07:50,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
74,Kat Bukowy,1199,F35-39,USA,03:11:44,02:49:15,06:07:53,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
166,Paolo Cassarino,1999,M35-39,USA,03:05:18,02:55:47,06:07:54,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
108,Andrew Widmann,1798,M25-29,USA,03:46:10,02:18:39,06:08:14,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
110,Ansley Doughty,1300,F40-44,USA,03:09:52,02:48:22,06:08:15,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
111,Tara Turon,1376,F40-44,USA,03:27:55,02:32:13,06:08:15,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
192,James Thurmond,2482,M45-49,USA,03:18:21,02:43:21,06:08:19,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
193,Elvert Gardner,2383,M45-49,USA,03:03:10,02:57:35,06:08:32,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
58,Kristen Lehner,1082,F25-29,USA,03:14:04,02:48:02,06:08:48,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
101,Michele Benz,125,F45-49,USA,03:16:27,02:42:33,06:08:55,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
188,Brad Shambach,2289,M40-44,USA,03:18:00,02:41:13,06:08:59,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
102,Kristine Prazak-Davoli,799,F45-49,USA,03:06:06,02:53:45,06:09:03,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
103,Yvonne Vanderhorst-Busdeker,698,F45-49,USA,03:08:00,02:53:36,06:09:04,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
-,Team Stahl Spartan'S,4048,RELAY,USA,04:01:00,02:05:36,06:09:19,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
59,Madison Horner,1075,F25-29,USA,03:29:08,02:32:17,06:09:27,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
75,Lisa Fleming,1215,F35-39,USA,03:15:29,02:47:18,06:09:28,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
15,Lawrence Bartlett,2825,M65-69,USA,03:30:32,02:33:49,06:09:38,Ironman 70.3 Eagleman,06/09/2019,"Cambridge, Maryland"
