Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
15,Bradley Tomes,2765,M18-24,USA,03:21:12,02:48:15,06:14:33,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
25,George Ohara,2793,M60-64,USA,03:07:16,03:00:24,06:14:43,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
105,Frank Goswick,876,M50-54,USA,03:03:45,03:01:45,06:14:45,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
185,Reggie Evans,1682,M40-44,USA,02:59:41,03:06:14,06:14:45,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
10,Katelyn Magruder,2283,F18-24,USA,03:10:18,02:58:46,06:14:59,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
35,Team Wacky Wacos,4070,RELAY,USA,03:23:31,02:47:53,06:15:00,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
68,Dawn Leonard,466,F45-49,USA,03:04:53,03:03:19,06:15:01,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
69,Patty Black,1553,F45-49,USA,03:18:19,02:51:30,06:15:05,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
186,Robert Danek,1669,M40-44,USA,03:01:37,03:08:10,06:15:07,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
194,Kory Lindsey,2435,M35-39,USA,02:59:57,03:05:59,06:15:20,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
187,Robert Black,1650,M40-44,USA,03:30:29,02:38:48,06:15:32,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
70,Debi Cost,1562,F45-49,USA,03:12:43,02:50:37,06:15:36,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
39,Carly Evans,751,F25-29,USA,03:28:14,02:41:57,06:15:37,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
40,Stacey Snyder,2887,F25-29,USA,03:22:59,02:46:42,06:15:38,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
65,Jeff Walburn,1547,M55-59,USA,03:10:57,02:59:09,06:15:43,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
75,Zach Hawkins,2666,M25-29,USA,03:32:42,02:34:33,06:15:43,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
36,Team Where'S The Finsh (wtf),4072,RELAY,USA,03:33:12,02:39:28,06:15:46,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
117,Rachel Back-Robbins,452,F40-44,USA,03:05:48,03:04:43,06:15:54,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
196,Chris Raneri,1428,M45-49,USA,03:03:28,03:06:35,06:15:56,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
71,Erin Mullen,1598,F45-49,USA,03:34:41,02:34:45,06:15:57,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
118,Jennifer Spellman,1909,F40-44,USA,03:15:10,02:56:17,06:16:05,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
197,James Milam,1408,M45-49,USA,02:58:22,03:09:43,06:16:08,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
11,Samantha Horodecki,2279,F18-24,USA,03:35:48,02:35:05,06:16:10,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
198,Ed Lujan,1402,M45-49,USA,03:01:53,03:09:29,06:16:14,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
3,Trey Evans,279,M70-74,USA,03:10:10,03:00:43,06:16:14,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
195,Andrew Azelton,2352,M35-39,USA,03:12:30,02:57:58,06:16:20,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
136,Brandon McKenzie,2109,M30-34,USA,03:12:10,02:59:05,06:16:22,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
54,Hanh Thai,470,F30-34,USA,03:14:41,02:56:51,06:16:24,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
37,Team Team Ter-R,4050,RELAY,USA,03:27:15,02:44:08,06:16:28,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
38,Team Rufusian Dynomite,4043,RELAY,USA,03:21:01,02:51:54,06:16:42,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
55,Jaime Wheeler,2267,F30-34,USA,03:20:14,02:43:22,06:16:47,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
137,Paul Bailey,926,M30-34,USA,02:59:34,03:10:44,06:16:51,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
56,Lauren Cochran,2184,F30-34,USA,03:25:44,02:43:50,06:17:05,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
92,Rebecca Turnipseed,1277,F35-39,USA,03:26:18,02:44:37,06:17:09,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
53,Anneke Bush,561,F50-54,USA,03:04:00,03:07:21,06:17:18,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
54,Jacki Lamothe,1970,F50-54,USA,03:16:56,02:54:37,06:17:26,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
119,Karina Krishna Allen,552,F40-44,USA,03:09:19,03:01:33,06:17:30,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
31,Lorie Cross,2298,F55-59,USA,03:15:25,02:55:30,06:17:31,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
93,Courtney Leone,632,F35-39,USA,03:15:09,02:52:13,06:17:45,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
94,Jennifer Linford,1226,F35-39,USA,03:07:38,03:01:02,06:17:45,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
188,Cliff Coker,500,M40-44,USA,02:54:06,03:14:54,06:17:52,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
120,Cherilyn Stringer,1911,F40-44,USA,03:13:14,02:56:46,06:18:00,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
57,Allison Hamel,2207,F30-34,USA,03:02:56,03:09:46,06:18:07,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
55,Kim Kubik,1968,F50-54,USA,03:15:35,02:53:03,06:18:14,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
56,Tabatha Hill,610,F50-54,USA,03:06:30,03:06:21,06:18:14,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
138,Jeremy Sweat,2148,M30-34,USA,03:10:07,03:02:29,06:18:20,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
57,Xochil Hinshaw,1962,F50-54,USA,03:37:34,02:32:24,06:18:25,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
139,Omar Elizondo,2050,M30-34,USA,03:22:38,02:46:42,06:18:26,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
199,William Lander,1392,M45-49,VEN,03:16:03,02:55:43,06:18:28,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
121,Nicole Nunan,1088,F40-44,USA,03:20:58,02:50:07,06:18:29,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
196,Westin Moore,91,M35-39,,03:06:04,03:02:47,06:18:32,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
