Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time
17,Shawn Clark,2284,M40-44,USA,00:35:07,02:29:00,01:39:28,04:51:22
23,Elizabeth James,27,FPRO,USA,00:35:09,02:38:07,01:32:29,04:51:22
32,Matt McMillian,578,M35-39,USA,00:32:16,02:32:39,01:37:44,04:51:27
6,Marcus Chapman,730,M50-54,USA,00:33:32,02:31:25,01:38:48,04:51:29
1,Liis Rametta,296,F35-39,EST,00:35:10,02:38:23,01:32:15,04:51:31
33,Scott Fulkerson,402,M35-39,USA,00:35:57,02:34:46,01:33:41,04:51:40
18,Reeven Nathan,2501,M25-29,USA,00:30:12,02:23:22,01:50:09,04:51:46
-,Team Battle Born,4005,RELAY,USA,00:52:10,02:26:43,01:28:04,04:51:52
2,John Mulcahy,316,M55-59,USA,00:31:47,02:29:29,01:43:59,04:51:59
18,Marc Peachey,336,M40-44,USA,00:31:21,02:35:15,01:38:23,04:52:01
26,Skylar Morrill,1999,M30-34,USA,00:32:50,02:37:20,01:35:01,04:52:09
8,Matthew Dochnal,2091,M18-24,USA,00:31:48,02:36:50,01:33:18,04:52:33
27,William Lagreca,778,M30-34,USA,00:38:11,02:28:56,01:39:08,04:53:18
19,Geoff Lheureux,611,M40-44,USA,00:28:52,02:36:39,01:39:47,04:53:19
20,Brian Andzejewicz,560,M40-44,USA,00:36:53,02:37:41,01:31:54,04:53:24
7,Jeffrey Sankoff,401,M50-54,CAN,00:33:43,02:31:16,01:40:42,04:53:36
34,Oscar Preciado Bohorquez,1965,M35-39,USA,00:27:09,02:34:15,01:46:36,04:53:49
19,Ben Stern,3051,M25-29,USA,00:28:06,02:36:09,01:40:31,04:53:58
35,Jeremiah West,1215,M35-39,USA,00:42:41,02:36:57,01:27:20,04:54:20
13,Adam Mims,924,M45-49,USA,00:32:20,02:31:40,01:41:59,04:54:21
24,Zuzana Trnovcova,28,FPRO,SVK,00:34:14,02:34:46,01:38:04,04:54:23
14,C. Chaney,590,M45-49,USA,00:28:14,02:45:47,01:35:20,04:54:25
15,Adam Hicken,516,M45-49,USA,00:35:39,02:23:51,01:47:20,04:54:34
28,Jonathan Davis,1561,M30-34,USA,00:34:30,02:39:04,01:32:30,04:54:40
21,Cameron Comerford,363,M40-44,USA,00:39:17,02:25:17,01:42:48,04:54:48
1,Sharon Schmidt-Mongrain,410,F45-49,USA,00:31:37,02:39:49,01:37:29,04:55:01
5,Paige Boldt,1890,F30-34,USA,00:32:40,02:35:38,01:37:42,04:55:02
8,Bryan Dunn,448,M50-54,USA,00:31:13,02:34:37,01:40:41,04:55:14
16,David Steindam,1351,M45-49,USA,00:35:18,02:31:18,01:41:30,04:55:23
6,Alexandra Watt,422,F30-34,USA,00:29:31,02:42:24,01:36:52,04:55:24
17,Sam Hobi,2130,M45-49,USA,00:34:20,02:35:36,01:38:35,04:55:31
36,Zach Yeager,3048,M35-39,USA,00:31:24,02:31:49,01:45:48,04:55:36
37,Matthew Shaffer,366,M35-39,USA,00:33:28,02:33:55,01:40:30,04:55:45
38,Devon Stewart,1673,M35-39,USA,00:31:03,02:32:00,01:43:29,04:55:51
29,Todd Wakefield,743,M30-34,AUS,00:29:08,02:59:07,01:20:13,04:55:59
20,Aaron Scheets,596,M25-29,USA,00:27:59,02:34:08,01:45:07,04:56:01
30,Chris Thomas,694,M30-34,USA,00:29:50,02:37:22,01:40:20,04:56:06
2,Kristen Yax,361,F35-39,USA,00:36:38,02:31:38,01:40:53,04:56:15
9,Kevin Fuller,1903,M50-54,USA,00:31:45,02:27:39,01:48:49,04:56:32
21,Zachary Benedict,1879,M25-29,USA,00:32:11,02:35:17,01:41:35,04:56:33
1,Juliet Hochman,1490,F50-54,USA,00:33:23,02:31:05,01:46:18,04:56:34
9,Kellen Davis,2171,M18-24,USA,00:33:44,02:40:06,01:34:28,04:56:36
18,Kirk Gilligan,632,M45-49,USA,00:35:14,02:22:44,01:52:15,04:56:48
19,BJ Gumkowski,312,M45-49,USA,00:31:02,02:37:20,01:40:44,04:56:50
22,Jeff Lam,550,M40-44,USA,00:38:17,02:32:34,01:39:06,04:56:58
3,Jennifer Santoyo,360,F35-39,USA,00:31:15,02:31:12,01:47:26,04:57:03
31,Michael Russo,1682,M30-34,USA,00:33:57,02:40:49,01:36:01,04:57:12
